A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Tristan Vukcevic,WAS,35,513,0.496,330,130,39,11,23,1,42,57
Tre Jones,2TM,46,905,0.538,330,116,192,37,10,0,35,55
Tre Jones,SAS,28,450,0.484,123,58,104,18,5,3,21,33
Tre Jones,CHI,18,455,0.572,207,58,88,19,5,7,14,22
Dalen Terry,CHI,73,987,0.448,326,124,97,44,15,7,53,114
Karlo Matković,NOP,42,791,0.574,325,209,46,22,41,2,43,106
Dean Wade,CLE,59,1252,0.413,320,249,76,42,20,15,22,101
DaQuan Jeffries,CHO,47,1071,0.405,315,135,53,26,25,0,35,99
Shake Milton,2TM,57,837,0.453,315,104,102,25,4,0,40,67
Shake Milton,BRK,27,492,0.465,199,51,64,15,1,0,20,43
Shake Milton,LAL,30,345,0.433,116,53,38,10,3,13,20,24
Dereck Lively II,DAL,36,833,0.702,314,270,85,20,56,6,41,100
Nicolas Batum,LAC,78,1367,0.437,313,218,84,52,36,11,34,111
Jabari Walker,POR,60,749,0.515,313,211,37,33,6,4,34,87
Neemias Queta,BOS,62,863,0.65,310,236,45,18,42,14,40,106
Malcolm Brogdon,WAS,24,564,0.433,305,91,98,13,5,1,38,30
Antonio Reeves,NOP,44,660,0.456,305,63,39,21,4,2,30,40
Marcus Smart,2TM,34,680,0.393,305,72,109,39,9,0,54,53
Marcus Smart,MEM,19,400,0.358,165,43,71,23,6,8,35,31
Marcus Smart,WAS,15,280,0.44,140,29,38,16,3,1,19,22
Orlando Robinson,2TM,44,770,0.444,303,220,77,17,16,0,49,100
Orlando Robinson,SAC,9,57,0.412,19,14,9,3,1,7,4,6
Orlando Robinson,TOR,35,713,0.447,284,206,68,14,15,5,45,94
Andre Drummond,PHI,40,751,0.5,293,310,34,39,18,3,55,94
Kris Murray,POR,69,1040,0.419,287,182,68,35,17,4,43,66
Landry Shamet,NYK,50,762,0.461,286,61,27,23,2,13,22,52
Jeff Dowtin Jr.,PHI,41,621,0.487,285,60,78,24,12,3,15,29
Josh Okogie,2TM,40,625,0.443,283,113,33,48,18,0,31,47
Josh Okogie,PHO,25,351,0.491,150,72,14,21,10,0,16,28
Josh Okogie,CHO,15,274,0.388,133,41,19,27,8,0,15,19
KJ Simpson,CHO,36,842,0.346,282,109,112,34,6,0,56,56
Drew Eubanks,2TM,61,746,0.593,280,226,54,12,39,0,41,63
Drew Eubanks,UTA,37,568,0.607,215,168,45,10,32,1,31,46
Drew Eubanks,LAC,24,178,0.551,65,58,9,2,7,11,10,17
Jaylin Williams,OKC,47,784,0.439,278,262,120,22,29,15,35,79
Brandon Williams,DAL,33,487,0.521,275,58,76,24,5,6,39,33
KJ Martin,2TM,43,912,0.552,274,125,48,17,22,0,24,101
KJ Martin,PHI,24,480,0.616,154,72,19,11,16,3,12,62
KJ Martin,UTA,19,432,0.49,120,53,29,6,6,1,12,39
Vasilije Micić,2TM,41,785,0.348,269,89,128,15,0,0,77,45
Vasilije Micić,CHO,36,764,0.348,269,87,127,15,0,0,74,44
Lonzo Ball,CHI,35,777,0.366,267,118,115,47,17,7,41,55
Tosan Evbuomwan,BRK,28,665,0.427,267,120,55,24,10,0,39,55
Jett Howard,ORL,60,701,0.374,267,70,44,13,11,9,36,68
Eric Gordon,PHI,39,768,0.426,266,46,65,26,12,3,28,32
Lindy Waters III,2TM,52,778,0.369,256,110,52,27,11,0,20,62
Lindy Waters III,GSW,38,655,0.371,209,96,42,22,10,9,17,55
Lindy Waters III,DET,14,123,0.364,47,14,10,5,1,10,3,7
Ben Simmons,2TM,51,1120,0.52,256,241,285,38,23,0,102,107
Ben Simmons,BRK,33,825,0.547,204,172,229,26,16,0,88,81
Ben Simmons,LAC,18,295,0.434,52,69,56,12,7,11,14,26
Oso Ighodaro,PHO,61,1045,0.604,255,222,71,28,29,0,39,102
Pelle Larsson,MIA,55,782,0.438,251,92,65,32,7,6,24,91
Lonnie Walker IV,PHI,20,477,0.42,247,63,50,10,5,3,25,27
Bol Bol,PHO,36,448,0.525,244,104,22,9,25,0,20,20
Caleb Houstan,ORL,58,788,0.421,239,75,35,22,6,9,13,62
A.J. Lawson,TOR,26,486,0.421,236,86,31,13,6,5,15,44
Malaki Branham,SAS,47,427,0.458,235,51,38,11,2,3,34,29
Ajay Mitchell,OKC,36,597,0.495,234,68,64,25,4,15,29,68
Monte Morris,PHO,45,571,0.426,233,67,73,20,3,0,21,23
Richaun Holmes,WAS,31,534,0.647,230,177,42,9,23,1,21,49
Andre Jackson Jr.,MIL,67,980,0.477,230,182,83,34,14,11,58,114
Cody Williams,UTA,50,1060,0.323,230,113,59,23,16,1,44,95
Reed Sheppard,HOU,52,654,0.351,229,78,75,35,17,14,37,53
Gui Santos,GSW,56,762,0.458,227,172,80,25,10,9,42,91
Steven Adams,HOU,58,794,0.545,225,327,66,22,28,14,54,60
AJ Johnson,2TM,29,639,0.385,220,59,76,12,3,0,35,50
AJ Johnson,MIL,7,44,0.421,20,7,7,1,0,11,4,0
AJ Johnson,WAS,22,595,0.381,200,52,69,11,3,1,31,50
Rob Dillingham,MIN,49,516,0.441,219,50,98,20,1,10,53,37
Blake Wesley,SAS,58,683,0.435,217,61,114,37,6,3,54,46
Pat Connaughton,MIL,41,603,0.469,216,109,70,9,11,11,24,45
GG Jackson II,MEM,29,459,0.372,209,92,29,12,5,8,31,30
DeAndre Jordan,DEN,56,691,0.65,209,284,53,16,27,12,40,74
Herbert Jones,NOP,20,648,0.436,205,78,65,37,9,2,35,66
Larry Nance Jr.,ATL,24,463,0.516,203,103,38,20,13,8,16,37
Olivier-Maxence Prosper,DAL,52,584,0.402,201,126,40,26,6,6,14,28
Jock Landale,HOU,42,500,0.533,200,137,37,13,10,14,21,49
Jalen Pickett,DEN,49,666,0.428,200,71,107,19,5,12,24,38
Kai Jones,2TM,40,468,0.798,198,125,25,15,23,0,18,50
Kai Jones,LAC,28,208,0.722,61,46,10,6,13,11,10,23
Kai Jones,DAL,12,260,0.836,137,79,15,9,10,6,8,27
Mouhamed Gueye,ATL,33,533,0.421,197,139,27,28,33,8,15,55
Jamal Cain,NOP,37,502,0.43,196,85,22,23,9,2,22,46
Collin Gillespie,PHO,33,461,0.43,194,78,78,21,5,0,17,30
Duop Reath,POR,46,469,0.422,194,92,26,12,14,4,16,41
Craig Porter Jr.,CLE,51,513,0.514,188,67,71,17,15,15,38,25
Jae'Sean Tate,HOU,52,588,0.473,188,117,47,26,7,14,22,82
Zeke Nnaji,DEN,57,608,0.496,184,90,23,25,38,12,14,62
Paul Reed,DET,45,438,0.507,184,123,44,39,25,10,26,75
Tre Mann,CHO,13,319,0.435,183,38,39,7,4,0,25,24
Vince Williams Jr.,MEM,27,499,0.401,179,98,55,12,7,8,33,45
Cory Joseph,ORL,50,612,0.403,177,74,72,26,4,9,18,50
Dante Exum,DAL,20,372,0.478,174,33,56,12,3,6,22,34
Jeff Green,HOU,32,396,0.504,172,58,20,6,4,14,9,32
Kessler Edwards,DAL,40,608,0.496,168,115,42,19,20,6,16,62
Keaton Wallace,ATL,31,501,0.401,168,50,81,28,9,8,33,39
Jaylon Tyson,CLE,47,453,0.43,167,96,44,13,3,15,26,50
Grant Williams,CHO,16,479,0.439,166,82,37,18,13,0,28,46
Jaylen Clark,MIN,40,522,0.467,163,53,26,36,2,10,8,61
Quenton Jackson,IND,28,381,0.475,162,44,53,21,5,12,16,43
Micah Potter,UTA,38,705,0.422,162,164,31,14,14,1,31,50
Daniel Theis,NOP,38,621,0.473,162,164,60,18,20,2,25,70
Jordan Goodwin,LAL,29,543,0.438,161,112,42,30,11,13,26,43
Charles Bassey,SAS,36,376,0.581,157,152,17,14,30,3,23,50
Colby Jones,2TM,39,515,0.457,157,87,44,26,13,0,23,37
Colby Jones,SAC,24,130,0.423,26,23,7,6,7,7,7,13
Colby Jones,WAS,15,385,0.466,131,64,37,20,6,1,16,24
Rayan Rupert,POR,52,460,0.408,155,70,25,16,4,4,30,37
Jevon Carter,CHI,36,321,0.377,153,39,40,13,3,7,11,15
David Roddy,3TM,33,410,0.456,153,84,35,14,9,0,22,20
David Roddy,ATL,27,346,0.473,122,70,30,12,8,8,20,18
David Roddy,PHI,3,29,0.421,18,9,3,2,0,3,1,1
David Roddy,HOU,3,35,0.385,13,5,2,0,1,14,1,1
Jordan Miller,LAC,37,420,0.433,152,58,34,17,5,11,26,26
Trevelin Queen,ORL,31,430,0.381,152,54,38,31,10,9,22,38
Wendell Moore Jr.,2TM,36,499,0.468,150,95,42,20,5,0,27,31
Wendell Moore Jr.,DET,20,219,0.46,63,44,23,10,3,10,9,15
Wendell Moore Jr.,CHO,16,280,0.474,87,51,19,10,2,0,18,16
Bones Hyland,2TM,24,239,0.398,149,25,32,18,4,0,25,29
Bones Hyland,LAC,20,222,0.391,144,24,28,18,4,11,24,26
Bones Hyland,MIN,4,17,0.667,5,1,4,0,0,10,1,3
Dominick Barlow,ATL,35,375,0.531,148,85,19,9,16,8,5,47
Doug McDermott,SAC,42,342,0.427,147,22,7,4,2,7,6,30
Jarred Vanderbilt,LAL,36,581,0.488,147,182,41,35,10,13,29,67
Gary Harris,ORL,48,711,0.383,145,64,30,26,12,9,17,45
Bismack Biyombo,SAS,28,528,0.588,144,158,31,16,23,3,27,52
Keion Brooks Jr.,NOP,14,332,0.486,142,58,13,10,10,2,12,30
Ousmane Dieng,OKC,37,405,0.432,142,81,31,17,7,15,18,33
Devin Carter,SAC,36,396,0.37,138,76,41,21,4,7,18,39
Luka Garza,MIN,39,219,0.495,138,54,11,6,3,10,12,29
Kyle Lowry,PHI,35,659,0.35,138,67,96,33,11,3,21,62
Terrence Shannon Jr.,MIN,32,339,0.482,138,47,32,7,5,10,15,27
Mo Bamba,2TM,32,413,0.464,138,145,18,9,31,0,20,56
Mo Bamba,LAC,28,352,0.466,128,120,16,9,28,11,19,49
Mo Bamba,NOP,4,61,0.444,10,25,2,0,3,2,1,7
Reggie Jackson,PHI,31,384,0.391,136,42,45,16,3,3,17,34
Marvin Bagley III,2TM,31,265,0.519,136,84,11,9,8,0,12,18
Marvin Bagley III,WAS,19,166,0.535,93,56,7,7,5,1,11,12
Marvin Bagley III,MEM,12,99,0.486,43,28,4,2,3,8,1,6
Dillon Jones,OKC,54,551,0.383,135,121,58,16,4,15,28,54
Isaac Jones,SAC,40,304,0.651,134,57,12,5,10,7,16,30
Hunter Tyson,DEN,51,400,0.375,134,78,20,10,6,12,14,44
Anthony Gill,WAS,51,397,0.489,129,66,16,9,2,1,10,30
Delon Wright,2TM,40,635,0.344,125,66,77,35,12,0,22,25
Delon Wright,MIL,26,405,0.268,65,46,48,23,9,11,14,17
Delon Wright,NYK,14,230,0.469,60,20,29,12,3,13,8,8
Colin Castleton,3TM,26,432,0.469,123,122,28,8,10,0,23,51
Colin Castleton,MEM,10,46,0.2,14,9,0,1,1,8,1,6
Colin Castleton,TOR,11,288,0.5,79,76,18,6,8,5,21,32
Colin Castleton,PHI,5,98,0.5,30,37,10,1,1,3,1,13
Branden Carlson,OKC,32,246,0.443,122,54,14,5,21,15,7,22
Kevin Love,MIA,23,251,0.357,122,94,22,15,4,6,14,21
Isaiah Wong,CHO,20,265,0.39,120,32,28,11,0,0,18,21
Josh Minott,MIN,46,276,0.489,119,47,18,15,12,10,11,34
Jared Rhoden,2TM,14,227,0.483,118,42,16,10,2,0,9,20
Jared Rhoden,CHO,4,12,0.25,4,4,2,1,0,0,1,1
Jared Rhoden,TOR,10,215,0.506,114,38,14,9,2,5,8,19
Robert Williams,POR,20,351,0.641,116,118,21,13,33,4,17,31
Maxwell Lewis,2TM,28,327,0.417,116,55,19,9,7,0,14,29
Maxwell Lewis,LAL,7,29,0.333,4,2,2,1,0,13,2,1
Maxwell Lewis,BRK,21,298,0.422,112,53,17,8,7,0,12,28
Dariq Whitehead,BRK,20,246,0.406,114,29,12,6,1,0,15,22
Dwight Powell,DAL,55,551,0.689,114,118,55,18,21,6,18,75
Baylor Scheierman,BOS,31,384,0.355,113,65,33,17,2,14,12,22
John Konchar,MEM,46,558,0.451,112,151,42,30,14,8,16,32
Matisse Thybulle,POR,15,312,0.477,112,52,28,33,9,4,13,14
Patty Mills,2TM,29,321,0.375,111,22,26,13,3,0,17,24
Patty Mills,UTA,17,260,0.342,74,21,21,12,3,1,16,12
Patty Mills,LAC,12,61,0.5,37,1,5,1,0,11,1,12
Damion Baugh,CHO,15,370,0.323,109,50,56,15,2,0,31,22
Drew Timme,BRK,9,254,0.441,109,65,20,4,1,0,15,21
Jaden Springer,2TM,43,365,0.389,109,58,33,24,4,0,16,42
Jaden Springer,BOS,26,141,0.353,45,24,10,12,1,14,4,17
Jaden Springer,UTA,17,224,0.411,64,34,23,12,3,1,12,25
Torrey Craig,2TM,26,314,0.422,108,73,17,8,12,0,8,34
Torrey Craig,CHI,9,113,0.489,62,25,5,2,1,7,0,15
Torrey Craig,BOS,17,201,0.356,46,48,12,6,11,14,8,19
Taj Gibson,CHO,37,409,0.495,107,120,21,9,18,0,25,54
Oscar Tshiebwe,UTA,14,255,0.6,107,122,9,13,1,1,10,24
Cam Spencer,MEM,25,252,0.415,106,30,34,9,1,8,6,23
Jalen Hood-Schifino,2TM,15,315,0.378,106,27,37,5,7,0,18,25
Jalen Hood-Schifino,LAL,2,14,1000.0,4,1,1,0,1,13,1,3
Jalen Hood-Schifino,PHI,13,301,0.371,102,26,36,5,6,3,17,22
Cam Reddish,LAL,33,589,0.404,105,66,22,33,10,13,12,43
Johnny Furphy,IND,50,379,0.38,103,71,19,18,11,12,12,41
Maxi Kleber,DAL,34,637,0.385,103,95,43,9,17,6,23,66
Pat Spencer,GSW,39,250,0.406,98,46,48,14,3,9,18,20
Jericho Sims,2TM,53,632,0.634,98,197,33,10,19,0,33,65
Jericho Sims,NYK,39,422,0.609,64,129,22,8,10,13,21,46
Jericho Sims,MIL,14,210,0.68,34,68,11,2,9,11,12,19
Jordan McLaughlin,2TM,46,314,0.431,98,30,51,16,1,0,16,18
Jordan McLaughlin,SAC,28,190,0.364,53,21,24,11,0,7,11,13
Jordan McLaughlin,SAS,18,124,0.536,45,9,27,5,1,3,5,5
Trey Jemison,2TM,38,392,0.554,95,105,16,9,15,0,24,69
Trey Jemison,NOP,16,166,0.469,38,44,10,7,6,2,10,27
Trey Jemison,LAL,22,226,0.619,57,61,6,2,9,13,14,42
Reece Beekman,2TM,36,469,0.327,93,39,63,33,2,0,21,36
Reece Beekman,GSW,2,4,1000.0,2,1,1,1,0,9,0,1
Reece Beekman,BRK,34,465,0.321,91,38,62,32,2,0,21,35
Christian Koloko,LAL,37,342,0.606,90,92,16,8,16,13,12,44
Mitchell Robinson,NYK,17,290,0.661,87,101,13,16,18,13,10,26
Dru Smith,MIA,14,268,0.508,87,36,23,21,6,6,17,30
Lester Quiñones,2TM,13,183,0.397,86,19,24,3,2,0,14,18
Lester Quiñones,PHI,4,17,0.5,9,4,1,0,0,3,4,0
Lester Quiñones,NOP,9,166,0.386,77,15,23,3,2,2,10,18
Elfrid Payton,2TM,24,511,0.328,85,79,166,24,11,0,59,36
Elfrid Payton,NOP,18,388,0.366,79,66,146,18,8,2,52,24
Elfrid Payton,CHO,6,123,0.143,6,13,20,6,3,0,7,12
Damion Lee,PHO,25,144,0.365,83,20,11,6,0,0,10,6
Jordan Walsh,BOS,52,403,0.361,82,69,19,12,11,14,17,30
Tyler Kolek,NYK,41,296,0.329,81,27,70,12,4,13,18,26
Johnny Davis,WAS,34,242,0.41,80,38,11,15,6,1,7,18
MarJon Beauchamp,3TM,35,156,0.415,79,44,11,4,1,0,15,14
MarJon Beauchamp,MIL,26,122,0.383,52,32,8,3,1,11,13,10
MarJon Beauchamp,LAC,3,17,0.571,12,3,2,0,0,11,1,2
MarJon Beauchamp,NYK,6,17,0.455,15,9,1,1,0,13,1,2
Jaylen Martin,2TM,16,239,0.419,78,44,17,9,0,0,12,14
Jaylen Martin,BRK,3,5,0.5,3,0,0,0,0,0,0,1
Jaylen Martin,WAS,13,234,0.417,75,44,17,9,0,1,12,13
Kobe Brown,LAC,40,272,0.458,77,65,24,7,4,11,12,23
Alex Reese,2TM,15,216,0.481,76,47,4,10,10,0,6,21
Alex Reese,OKC,1,2,1000.0,2,1,0,0,0,15,0,0
Alex Reese,PHI,14,214,0.472,74,46,4,10,10,3,6,21
Moses Brown,2TM,13,119,0.694,76,44,2,6,4,0,11,17
Moses Brown,IND,9,46,0.65,29,13,0,2,1,12,6,6
Moses Brown,DAL,4,73,0.724,47,31,2,4,3,6,5,11
Lamar Stevens,MEM,17,155,0.46,74,38,8,5,3,8,10,15
Alex Len,2TM,46,380,0.508,74,95,38,9,21,0,20,56
Alex Len,SAC,36,258,0.537,52,64,30,8,18,7,11,35
Alex Len,LAL,10,122,0.455,22,31,8,1,3,13,9,21
JT Thor,2TM,20,249,0.424,71,48,6,8,9,0,9,17
JT Thor,CLE,9,42,0.6,28,6,1,2,3,15,6,6
JT Thor,WAS,11,207,0.364,43,42,5,6,6,1,3,11
Tristan Thompson,CLE,40,328,0.437,69,134,24,2,11,15,14,36
Marcus Bagley,PHI,10,253,0.391,67,70,10,9,12,3,7,16
Jaylen Nowell,NOP,8,168,0.356,67,20,18,1,4,2,8,9
Tyler Smith,MIL,23,122,0.48,67,25,4,3,4,11,8,11
Adam Flagler,OKC,37,203,0.26,65,27,12,8,3,15,4,15
Jeenathan Williams,HOU,20,147,0.435,65,13,9,8,4,14,14,16
Bronny James,LAL,27,181,0.313,62,18,22,9,3,13,13,13
De'Anthony Melton,GSW,6,121,0.407,62,20,17,7,2,9,10,18
Tony Bradley,IND,14,113,0.644,61,42,6,2,9,12,5,11
Markelle Fultz,SAC,21,184,0.418,61,20,27,10,2,7,15,12
Cole Swider,2TM,10,169,0.349,59,27,3,4,2,0,4,12
Cole Swider,DET,2,13,0.0,0,2,1,0,0,10,0,1
Cole Swider,TOR,8,156,0.379,59,25,2,4,2,5,4,11
Bruno Fernando,TOR,17,147,0.531,58,51,18,4,9,5,14,27
Dario Šarić,DEN,16,210,0.362,56,50,23,7,1,12,15,19
Markieff Morris,2TM,15,165,0.3,56,23,21,2,3,0,5,16
Markieff Morris,DAL,7,41,0.227,12,8,4,1,1,6,2,2
Markieff Morris,LAL,8,124,0.333,44,15,17,1,2,13,3,14
Tyson Etienne,BRK,7,151,0.327,55,9,12,3,1,0,8,17
Killian Hayes,BRK,6,162,0.419,54,18,31,4,4,0,9,13
Drew Peterson,BOS,25,186,0.415,54,40,13,5,2,14,8,18
Kobe Bufkin,ATL,10,124,0.383,53,21,17,3,2,8,8,9
Garrett Temple,TOR,28,227,0.3,53,29,31,17,2,5,10,23
Chuma Okeke,2TM,9,196,0.5,53,47,15,5,4,0,3,5
Chuma Okeke,PHI,7,171,0.545,48,43,13,5,3,3,3,5
Chuma Okeke,CLE,2,25,0.286,5,4,2,0,1,15,0,0
Patrick Baldwin Jr.,2TM,24,107,0.543,53,25,3,3,2,0,5,7
Patrick Baldwin Jr.,WAS,22,101,0.515,47,22,2,3,2,1,5,5
Patrick Baldwin Jr.,LAC,2,6,1000.0,6,3,1,0,0,11,0,2
Oshae Brissett,PHI,6,142,0.487,52,22,4,4,3,3,8,14
Ariel Hukporti,NYK,25,217,0.677,48,51,11,1,15,13,21,32
Enrique Freeman,IND,22,181,0.432,46,30,9,3,3,12,6,21
Kevin Knox,GSW,14,84,0.5,46,17,5,2,4,9,4,6
Keshad Johnson,MIA,16,98,0.692,43,28,4,5,4,6,4,11
Daeqwon Plowden,ATL,6,72,0.64,43,11,2,0,0,8,4,10
Jaylen Sims,CHO,6,112,0.429,42,6,12,3,1,0,8,10
Pete Nance,2TM,13,138,0.438,38,21,10,2,2,0,4,17
Pete Nance,PHI,7,68,0.333,15,10,3,1,0,3,0,10
Pete Nance,MIL,6,70,0.529,23,11,7,1,2,11,4,7
Emoni Bates,CLE,10,75,0.342,37,7,8,1,1,15,2,4
Chris Duarte,CHI,17,74,0.462,36,20,9,0,0,7,1,7
Alex Ducas,OKC,21,125,0.4,36,26,5,5,0,15,4,12
Yuki Kawamura,MEM,22,93,0.367,36,12,19,2,0,8,5,8
Nae'Qwan Tomlin,CLE,5,63,0.406,36,21,2,0,1,15,2,9
Isaiah Jackson,IND,5,84,0.609,35,28,5,3,8,12,5,14
TyTy Washington Jr.,PHO,16,118,0.311,35,13,16,3,0,0,3,4
Xavier Tillman Sr.,BOS,33,231,0.245,34,43,7,11,5,14,14,18
Kylor Kelley,2TM,11,126,0.636,34,39,5,1,3,0,4,15
Kylor Kelley,DAL,8,67,0.769,24,21,2,0,2,6,1,8
Kylor Kelley,NOP,3,59,0.444,10,18,3,1,1,2,3,7
JD Davison,BOS,16,93,0.353,33,13,13,5,1,14,13,2
PJ Hall,DEN,19,66,0.583,33,22,4,0,4,12,2,11
Trey Alexander,DEN,24,117,0.317,32,12,11,2,1,12,5,10
Elijah Harkless,UTA,10,138,0.314,32,21,8,10,1,1,3,18
Josh Richardson,MIA,8,150,0.289,32,12,12,8,1,6,8,17
Sidy Cissoko,2TM,22,114,0.433,32,21,15,2,1,0,11,10
Sidy Cissoko,SAS,17,54,0.5,22,10,6,1,0,3,2,6
Sidy Cissoko,POR,5,60,0.333,10,11,9,1,1,4,9,4
Pacome Dadiet,NYK,18,111,0.323,30,18,5,3,2,13,4,7
RayJ Dennis,IND,11,70,0.333,30,12,14,7,2,12,5,7
Chris Livingston,MIL,21,106,0.333,30,35,5,5,0,11,6,8
Josh Christopher,MIA,14,69,0.355,28,9,8,5,3,6,6,2
Marcus Garrett,CHO,4,79,0.407,28,6,13,3,2,0,6,10
Matt Ryan,NYK,19,68,0.323,28,8,3,2,0,13,3,1
Spencer Jones,DEN,20,125,0.324,26,17,5,5,5,12,5,17
Vlatko Čančar,DEN,13,136,0.385,24,32,9,3,2,12,11,10
N'Faly Dante,HOU,4,51,0.769,24,21,2,1,5,14,2,9
Jazian Gortman,DAL,16,57,0.391,24,5,6,2,1,6,5,9
Jae Crowder,SAC,9,103,0.318,23,20,6,3,0,7,4,10
Mason Jones,SAC,10,45,0.5,23,9,11,0,1,7,1,3
Jacob Toppin,2TM,17,76,0.409,23,15,6,2,0,0,3,3
Jacob Toppin,NYK,16,49,0.3,6,11,4,2,0,13,2,3
Jacob Toppin,ATL,1,27,0.5,17,4,2,0,0,8,1,0
Jackson Rowe,GSW,6,52,0.471,22,11,4,4,0,9,1,4
E.J. Liddell,CHI,12,53,0.533,21,9,3,1,1,7,2,11
Leonard Miller,MIN,13,32,0.4,20,11,0,2,1,10,2,2
Cam Christie,LAC,13,59,0.292,18,12,6,5,1,11,2,4
Justin Minaya,POR,19,101,0.381,18,10,7,6,1,4,5,12
Jamaree Bouyea,MIL,5,62,0.5,17,5,10,4,2,11,8,2
David Duke Jr.,SAS,6,34,0.429,16,5,4,1,0,3,2,1
Malachi Flynn,CHO,4,44,0.385,16,7,7,3,0,0,4,4
Joe Ingles,MIN,19,114,0.261,15,11,23,2,0,10,9,12
Bobi Klintman,DET,8,42,0.6,15,7,7,2,1,10,1,8
Stanley Umude,MIL,22,86,0.192,15,17,4,3,6,11,3,8
Taylor Hendricks,UTA,3,75,0.222,14,15,2,5,4,1,2,8
Jack McVeigh,HOU,9,43,0.294,14,5,1,0,2,14,2,3
Tolu Smith,DET,1,22,0.667,14,8,0,0,0,10,2,3
Armel Traoré,LAL,9,67,0.316,14,15,1,4,2,13,3,6
Isaiah Crawford,SAC,15,46,0.455,13,8,1,1,2,7,1,2
Bryce McGowens,POR,13,32,0.286,13,3,2,1,0,4,4,3
Luke Travers,CLE,12,88,0.25,12,20,8,1,1,15,8,6
Trentyn Flowers,LAC,6,27,0.364,11,4,0,0,0,11,1,4
Jahmir Young,CHI,6,30,0.8,11,3,6,0,0,7,1,2
Emanuel Miller,CHI,6,25,0.5,10,8,2,1,0,7,0,3
Jalen Bridges,PHO,8,30,0.286,9,4,0,0,0,0,4,0
Liam Robbins,MIL,13,57,0.25,9,12,2,2,2,11,6,9
P.J. Tucker,NYK,3,58,0.429,9,8,0,1,1,13,1,8
James Johnson,IND,12,37,0.364,8,6,4,0,2,12,4,5
Adama Sanogo,CHI,4,21,0.571,8,6,1,0,0,7,1,1
Anton Watson,NYK,9,22,0.444,8,3,2,1,0,13,2,3
Phillip Wheeler,PHI,5,44,0.143,8,8,2,1,2,3,1,1
PJ Dozier,MIN,9,35,0.667,7,5,5,1,0,10,1,3
Daniss Jenkins,DET,7,23,0.3,7,2,3,0,0,10,1,2
Miles Norris,BOS,3,35,0.222,7,9,0,2,1,14,0,0
Kevin McCullar Jr.,NYK,4,29,0.286,6,8,2,1,1,13,0,6
Isaiah Mobley,PHI,1,17,0.286,6,4,5,1,1,3,0,3
Taze Moore,POR,2,20,0.2,6,8,1,2,0,4,2,0
James Wiseman,IND,1,5,0.5,6,1,0,0,0,12,0,0
Ulrich Chomche,TOR,7,32,0.4,5,8,2,0,1,5,2,5
Skal Labissière,SAC,4,12,0.5,5,3,1,0,0,7,0,1
Alondes Williams,DET,1,4,1000.0,5,0,1,0,0,10,0,0
Ron Harper Jr.,DET,1,17,0.125,4,7,2,0,0,10,0,0
Harrison Ingram,SAS,5,35,0.5,4,9,3,3,0,3,1,2
D.J. Carton,TOR,4,33,0.143,3,4,3,2,0,5,4,1
Cui Yongxi,BRK,5,10,0.143,3,2,0,0,0,0,0,0
Braxton Key,GSW,3,11,0.0,3,2,0,2,0,9,1,0
Tristen Newton,2TM,8,16,0.125,3,4,2,1,0,0,2,4
Tristen Newton,IND,5,8,0.167,3,0,1,0,0,12,1,2
Tristen Newton,MIN,3,8,0.0,0,4,1,1,0,10,1,2
Quincy Olivari,LAL,2,10,0.2,3,0,1,0,0,13,1,0
Yuri Collins,GSW,2,16,0.333,2,3,4,2,0,9,0,5
Malevy Leons,OKC,6,21,0.0,2,3,1,0,0,15,1,4
Daishen Nix,MIN,3,13,0.0,1,4,3,0,0,10,4,1
Terence Davis,SAC,1,8,0.0,0,1,1,0,0,7,0,0
Mac McClung,ORL,2,10,0.0,0,1,3,0,0,9,0,2
Riley Minix,SAS,1,7,0.0,0,2,0,0,0,3,0,0
Zyon Pullin,MEM,3,3,0.0,0,0,0,0,0,8,0,0
Isaiah Stevens,MIA,3,6,0.0,0,2,0,1,0,6,0,0
Terry Taylor,SAC,3,6,0.0,0,1,2,0,0,7,0,0
